phrase,prompt,Care
I feel muscle pain every time I make an extra effort.,Muscle pain,PCP
I feel like my heart is on fire.,Heart hurts,Emergencey
My lower back hurts but it improves if I stretch it,Muscle pain,PCP
I have a headache every time I eat ice cream,Head ache,PCP
I love to walk and be outside but the bottoms of my feet get sore so quickly.,Foot ache,PCP
The nerves were so damaged during the operation on my ankle that I cannot stand being touched on the scar.,Foot ache,PCP
I have an ear ache when showering,Ear ache,PCP
I have a hard muscle pain since i went to the gym,Muscle pain,PCP
"When I move on my shoulder, pain shoots down my arm",Shoulder pain,PCP
I have terrible pain in my heart,Heart hurts,Emergencey
I'm not good i'm feeling so cold,Feeling cold,Pharmacy
Every time I comb my hair there are so many hair in my comb.,Hair falling out,Pharmacy
The warming system of my house is broken and  feel so cold,Feeling cold,Pharmacy
There is a sharp pain in my bicep. I have tried to apply pain relief cream but it does not help.,Muscle pain,PCP
I had an accident and my wound was open when I arrived to hospital,Open wound,Emergencey
When I stand up too quickly I start to feel dizzy and light-headed,Feeling dizzy,PCP
I have shooting pain in my kneecap after working out.,Knee pain,PCP
my hair isn't well,Hair falling out,Pharmacy
I have a neck pain when I sit in-front of my laptop.,Neck pain,PCP
stiffness inability to look right or left except by moving the whole body,Neck pain,PCP
My calves feel like they are tight as knots and are throbbing,Muscle pain,PCP
"i was diagnosed with pneumonia, i can't breath easily.",Hard to breath,Emergencey
I don't do anything at home and still I feel exhausted.,Body feels weak,PCP
I have eruptions on my face that come and go .,Acne,Pharmacy
I feel muscle pain every time I make an extra effort.,Muscle pain,PCP
I love to garden but I get a terrible twinge in my lower back when I lean over.,Back pain,PCP
I feel weak all over.,Body feels weak,PCP
I have acne in my face and other problema in my derma like itching,Skin issue,Pharmacy
My nose is congested all the time and there's this gluey secretion in my throat that makes it impossible for me to sleep. I often have to nap sitting down.,Hard to breath,Emergencey
i was watching tv and suddenly have blurry vision,Blurry vision,PCP
My neck is annoying me I can't sleep bacause of it,Neck pain,PCP
I have a hard muscle pain since i went to the gym,Muscle pain,PCP
When I sneeze very hard I feel ear ache,Ear ache,PCP
there is acne on my face,Acne,Pharmacy
My knee doesn't want to bend well.,Knee pain,PCP
I've got a hard time to breath- am I having a heart attack?,Hard to breath,Emergencey
i feel head ache,Head ache,PCP
I m feeling cold though the temperature is high,Feeling cold,Pharmacy
I can't move my head up and down.,Neck pain,PCP
"It is hard to breath when I am in the underground metro station, why?",Hard to breath,Emergencey
I feel very weak in my body,Body feels weak,PCP
I feel increased heart rate with prick,Heart hurts,Emergencey
This long scar on my left buttock is from falling off my mountain bike.,Injury from sports,Emergencey
I have a cut on my foot that became infected from using the showers at the gym.,Infected wound,PCP
When i eat i feel my stomach hurts,Stomach ache,PCP
I have an ear ache that won't go away.  I don't have a cold or headache or any other symptoms.  Just an earache.,Ear ache,PCP
I don't know why I'm constantly sad.,Emotional pain,PCP
i have a problem in my back i cannot extend it,Back pain,PCP
After an hard working day I have foot ache,Foot ache,PCP
my head hurts me badly,Head ache,PCP
My joints feel swollen,Joint pain,PCP
These red spots on my cheeks are new. What is it?,Skin issue,Pharmacy
I have a rash on my skin,Skin issue,Pharmacy
I wish this excruciating feeling of loss could go away.,Emotional pain,PCP
I feel a great amount of pressure on the sides of my neck,Shoulder pain,PCP
"I've tried reading books, but nothing can cheer me up.",Emotional pain,PCP
I think my wound is infected,Infected wound,PCP
When I stand I feel dizzy I do not know why,Feeling dizzy,PCP
My muscles feel tired,Body feels weak,PCP
My right shoulder clicks when I move my arm.,Shoulder pain,PCP
My head is so heavy can't think normally,Head ache,PCP
The feeling of coughing increases in winter's reach,Cough,PCP
I feel lightheaded,Feeling dizzy,PCP
I used alot of pain killer to get better but i still feel the same back pain,Back pain,PCP
Is there a cure for acne?,Acne,Pharmacy
I feel pain in the knee,Knee pain,PCP
I feel pain in my shoulders when I write on the keyboard.,Shoulder pain,PCP
My ear is ringing.,Ear ache,PCP
I get chills and aches all over.,Feeling cold,Pharmacy
Something dark is there on my arm,Skin issue,Pharmacy
I have the impression of having no strength in my body,Body feels weak,PCP
I have pain in my chest that saddens me.,Heart hurts,Emergencey
My knees seem to grind as I go up or down stairs.,Knee pain,PCP
After a breakup  I feel something strange in me.,Emotional pain,PCP
It feels like someone is hitting my head with a hammer.  I feel pain on the top of my head and it throbs.,Head ache,PCP
My shoulder hurts when I try to reach something above my head.,Shoulder pain,PCP
Mr hair is falling out just by combing it.,Hair falling out,Pharmacy
I have a scab on the back of my hand that just won't go away.,Skin issue,Pharmacy
Every morning when I wake up my neck feels like I slept on in wrong.,Muscle pain,PCP
I have a very rash sensation close to my arms,Skin issue,Pharmacy
I've been over my cold for weeks but still cough every day.,Cough,PCP
My skin is very dry and peeling.,Skin issue,Pharmacy
My face is all broken out with pimples.,Acne,Pharmacy
I have a ear ache when I go to the pool,Ear ache,PCP
I have a great stomach ache and i can't eat any thing,Stomach ache,PCP
My nose is congested all the time and there's this gluey secretion in my throat that makes it impossible for me to sleep. I often have to nap sitting down.,Hard to breath,Emergencey
I don't do anything at home and still I feel exhausted.,Body feels weak,PCP
"i walked a long for 3 km, i feel pain in my foot like foot ache",Foot ache,PCP
These red spots on my cheeks are new. What is it?,Skin issue,Pharmacy
My foot had been aching since last Tuesday.,Foot ache,PCP
i have issue with my skin,Skin issue,Pharmacy
i have pain like needles in my joints.,Joint pain,PCP
When I'm too high I start to feel dizzy,Feeling dizzy,PCP
I'm very worried that I'll go bald soon. Am I very sick?,Hair falling out,Pharmacy
"There must be something wrong with my blood circulation, I have to wear socks even on the hottest days, my toes are frozen!",Feeling cold,Pharmacy
I feel lightheaded,Feeling dizzy,PCP
I have a pain in my muscle,Muscle pain,PCP
"my child has cough all night, she can't sleep",Cough,PCP
I feel pain inside and I can not identify it,Internal pain,PCP
"I cough a lot when I smell perfume, what is wrong with my lungs?",Cough,PCP
"I get tired too fast, I can barely put on my clothes in the morning.",Body feels weak,PCP
I have a blurry vision after my head was hit yesterday.,Blurry vision,PCP
I just can't seem to get warm.  Even when everyone around me is warm I always feel cold.,Feeling cold,Pharmacy
I get big patches of irritated pimples on my back and they hurt.,Acne,Pharmacy
longitudinal burning line across back with hard respiratory movements,Back pain,PCP
How do you know if you have a torn meniscus in your knee?,Knee pain,PCP
I've been over my cold for weeks but still cough every day.,Cough,PCP
Every morning when I wake up my neck feels like I slept on in wrong.,Muscle pain,PCP
I feel a strange and powerful pain inside my rib cage,Heart hurts,Emergencey
I have acne all over my face,Acne,Pharmacy
I cut my hand a couple of days ago and although I didn't think I needed it stitches it hasn't closed up.,Open wound,Emergencey
i cant breathe,Cough,PCP
Anytime I play tennis I feel a shoulder pain,Shoulder pain,PCP
my neck hurts me and i can't look down or up,Neck pain,PCP
I do not feel better in my muscles,Muscle pain,PCP
I feel a huge emotional pain after I broke up with my girlfriend.,Emotional pain,PCP
"It is hard to breath when I am in the underground metro station, why?",Hard to breath,Emergencey
i have a problem in my back i cannot extend it,Back pain,PCP
I feel pain in my ears with tinnitus,Ear ache,PCP
"I am worried for my driving, because I can barely focus when I am at the wheel, my eyes feel teary.",Blurry vision,PCP
I feel back pain when I carry heavy things,Back pain,PCP
I feel severe itching in the skin with redness,Skin issue,Pharmacy
my shoulder is hurting me,Shoulder pain,PCP
Every time it rains I get hives on my belly and sides.,Skin issue,Pharmacy
my head hurts me badly,Head ache,PCP
My cough is very heavy and I have mucus.,Cough,PCP
"laceration, rupture or opening in the skin",Open wound,Emergencey
I feel strong pain in my knee after it was hit during the football match.,Injury from sports,Emergencey
I have severe shoulder pain,Shoulder pain,PCP
"I am worried how cold intolerant I am, I am always shivering, even out in the sun.",Feeling cold,Pharmacy
cramps along the whole abdomen,Stomach ache,PCP
I feel great pain in the head,Head ache,PCP
My right shoulder clicks when I move my arm.,Shoulder pain,PCP
My back hurts a lot when I bend,Back pain,PCP
heart aches so much,Heart hurts,Emergencey
Sterilizer for the eye,Blurry vision,PCP
When I'm too high I start to feel dizzy,Feeling dizzy,PCP
I get big patches of irritated pimples on my back and they hurt.,Acne,Pharmacy
i have severe dry cough,Cough,PCP
My body aches on the inside between my hips and shoulders.,Internal pain,PCP
I feel pain inside and I can not identify it,Internal pain,PCP
"i can't walk, my knee hurts me",Knee pain,PCP
In highschool I had a lot of acne.,Acne,Pharmacy
My kee is swallowing which indicates i have an infected wound,Infected wound,PCP
I feel dizzy when i make sudden movements,Feeling dizzy,PCP
A terrible fall in hair,Hair falling out,Pharmacy
"my cbc report indicate 10 hb, i feel tired of little work.",Body feels weak,PCP
The pain in my back dwwls like a sharp knife in it,Back pain,PCP
Severe pain in the ear,Ear ache,PCP
i have shoulder pain after doing any home work.,Shoulder pain,PCP
I feel so sore in my stomach area.,Stomach ache,PCP
my temperature dropped and my body get synosed,Feeling cold,Pharmacy
It itches inside my ears.,Ear ache,PCP
My hair is falling out in bunches.,Hair falling out,Pharmacy
"Even if the temperature is high in the house,  my body is always cold",Feeling cold,Pharmacy
I have a dull ache in my stomach.  It gets worse after I eat.,Internal pain,PCP
I get chills and aches all over.,Feeling cold,Pharmacy
"After playing tennis,  I had a powerful sensation close to my neck",Shoulder pain,PCP
How do you know if you have a torn meniscus in your knee?,Knee pain,PCP
There's swelling in my neck and it hurts.,Neck pain,PCP
I hit my head at the basketball game.  Could I have a concussion?,Injury from sports,Emergencey
I can't turn my neck to the left without feeling a stabbing pain,Neck pain,PCP
